Category,Trial No.,Trial Name,No. of Objects Encountered,Accuracy,Cycle Start Time (s),Found Target Time (s),Release Target Time (s),Involvement Time (T_i),Baseline Average (T_h),Search Time (T_s),Recognition Time (T_r),Efficiency (E),Average Efficiency (E_avg),Adjusted Accuracy (A'),Discrimination Efficiency (D),Average Discrimination Efficiency (D_avg),P(s),P(t),P(~t|s),P(t|s),Alpha Rate,Beta Rate
on,1.000,baseline,,,,11.867,10.700,1.167,0.909,,,,,,,,,,,,,
on,1.000,baseline,,,,9.467,8.633,0.833,0.909,,,,,,,,,,,,,
on,1.000,baseline,,,,7.133,6.367,0.767,0.909,,,,,,,,,,,,,
on,1.000,baseline,,,,4.433,3.267,1.167,0.909,,,,,,,,,,,,,
on,1.000,baseline,,,,2.200,1.267,0.933,0.909,,,,,,,,,,,,,
on,2.000,soft,5.000,0.600,58.000,50.933,49.800,1.133,0.909,7.067,0.224,0.073,0.089,0.400,1.784,4.288,0.200,0.323,0.400,0.600,0.118,0.629
on,2.000,soft,7.000,0.600,49.800,40.800,39.533,1.267,0.909,9.000,0.357,0.058,0.089,0.400,1.119,4.288,0.200,0.323,0.400,0.600,0.118,0.629
on,2.000,soft,9.000,0.600,39.533,29.900,28.967,0.933,0.909,9.633,0.024,0.057,0.089,0.400,16.552,4.288,0.200,0.323,0.400,0.600,0.118,0.629
on,2.000,soft,2.000,0.600,28.967,24.400,22.567,1.833,0.909,4.567,0.924,0.094,0.089,0.400,0.433,4.288,0.200,0.323,0.400,0.600,0.118,0.629
on,2.000,soft,2.000,0.600,22.567,20.067,18.900,1.167,0.909,2.500,0.258,0.164,0.089,0.400,1.553,4.288,0.200,0.323,0.400,0.600,0.118,0.629
on,3.000,hard,1.000,0.800,43.067,41.933,39.267,2.667,0.909,1.133,1.757,0.211,0.177,0.700,0.398,16.485,0.417,0.316,0.200,0.800,0.122,-0.055
on,3.000,hard,2.000,0.800,39.267,35.833,35.333,0.500,0.909,3.433,-0.409,0.168,0.177,0.700,1.711,16.485,0.417,0.316,0.200,0.800,0.122,-0.055
on,3.000,hard,4.000,0.800,35.333,26.867,25.633,1.233,0.909,8.467,0.324,0.082,0.177,0.700,2.159,16.485,0.417,0.316,0.200,0.800,0.122,-0.055
on,3.000,hard,1.000,0.800,25.633,24.533,23.233,1.300,0.909,1.100,0.391,0.333,0.177,0.700,1.791,16.485,0.417,0.316,0.200,0.800,0.122,-0.055
on,3.000,hard,4.000,0.800,23.233,15.367,14.467,0.900,0.909,7.867,-0.009,0.091,0.177,0.700,76.364,16.485,0.417,0.316,0.200,0.800,0.122,-0.055
off,4.000,soft,5.000,1.000,50.600,44.667,43.367,1.300,0.894,5.933,0.406,0.138,0.201,1.000,2.466,1.919,0.200,0.309,0.000,1.000,0.000,0.352
off,4.000,soft,1.000,1.000,43.367,42.333,40.800,1.533,0.894,1.033,0.639,0.390,0.201,1.000,1.565,1.919,0.200,0.309,0.000,1.000,0.000,0.352
off,4.000,soft,6.000,1.000,40.800,33.600,31.900,1.700,0.894,7.200,0.806,0.112,0.201,1.000,1.241,1.919,0.200,0.309,0.000,1.000,0.000,0.352
off,4.000,soft,2.000,1.000,31.900,29.867,28.567,1.300,0.894,2.033,0.406,0.300,0.201,1.000,2.466,1.919,0.200,0.309,0.000,1.000,0.000,0.352
off,4.000,soft,11.000,1.000,28.567,15.100,13.667,1.433,0.894,13.467,0.539,0.067,0.201,1.000,1.856,1.919,0.200,0.309,0.000,1.000,0.000,0.352
off,5.000,baseline,,,,14.033,13.533,0.500,0.894,,,,,,,,,,,,,
off,5.000,baseline,,,,12.267,11.733,0.533,0.894,,,,,,,,,,,,,
off,5.000,baseline,,,,10.700,9.967,0.733,0.894,,,,,,,,,,,,,
off,5.000,baseline,,,,8.367,7.800,0.567,0.894,,,,,,,,,,,,,
off,5.000,baseline,,,,6.800,5.800,1.000,0.894,,,,,,,,,,,,,
off,6.000,hard,2.000,1.000,18.367,16.933,15.933,1.000,0.894,1.433,0.106,0.411,0.341,1.000,9.474,3.557,0.500,0.309,0.000,1.000,0.000,-0.620
off,6.000,hard,1.000,1.000,15.933,14.933,13.700,1.233,0.894,1.000,0.339,0.448,0.341,1.000,2.951,3.557,0.500,0.309,0.000,1.000,0.000,-0.620
off,6.000,hard,1.000,1.000,13.700,12.833,11.433,1.400,0.894,0.867,0.506,0.441,0.341,1.000,1.978,3.557,0.500,0.309,0.000,1.000,0.000,-0.620
off,6.000,hard,3.000,1.000,11.433,7.500,6.167,1.333,0.894,3.933,0.439,0.190,0.341,1.000,2.278,3.557,0.500,0.309,0.000,1.000,0.000,-0.620
off,6.000,hard,3.000,1.000,6.167,3.267,1.467,1.800,0.894,2.900,0.906,0.213,0.341,1.000,1.104,3.557,0.500,0.309,0.000,1.000,0.000,-0.620
on,7.000,hard,2.000,1.000,31.533,29.533,28.600,0.933,0.909,2.000,0.024,0.341,0.351,1.000,41.379,11.339,0.625,0.309,0.000,1.000,0.000,-1.025
on,7.000,hard,1.000,1.000,28.600,27.333,26.800,0.533,0.909,1.267,-0.376,0.392,0.351,1.000,2.661,11.339,0.625,0.309,0.000,1.000,0.000,-1.025
on,7.000,hard,2.000,1.000,26.800,24.600,23.433,1.167,0.909,2.200,0.258,0.297,0.351,1.000,3.883,11.339,0.625,0.309,0.000,1.000,0.000,-1.025
on,7.000,hard,2.000,1.000,23.433,21.633,20.900,0.733,0.909,1.800,-0.176,0.347,0.351,1.000,5.687,11.339,0.625,0.309,0.000,1.000,0.000,-1.025
